种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数
17139324,60,4,0,4
22197287,60,4,0,4
22465049,60,6,2,2
31997798,60,2,0,2
33747969,60,3,1,2
34862996,60,16,0,3
43945119,60,4,1,3
44354138,60,8,1,1
47322911,60,4,1,2
59954576,60,2,1,2
66779502,60,9,1,2
67435847,60,13,1,2
70265365,60,4,1,3
74400687,60,3,1,2
74575749,60,2,0,3
79499710,60,6,1,3
84119972,60,6,0,3
97429928,60,2,0,3
97802893,60,4,0,3
98428808,60,2,1,3
99626253,60,3,0,3
1608782,59,6,1,2
3654188,59,3,1,3
4471216,59,3,0,2
7500460,59,6,0,1
12934851,59,3,0,1
17139324,59,4,0,4
17813923,59,4,0,4
22465049,59,8,2,2
30098436,59,5,1,2
31997798,59,3,0,2
32246551,59,12,1,1
43945119,59,4,1,5
47322911,59,2,1,2
53674706,59,8,0,2
59954576,59,3,1,2
62535601,59,9,0,2
66779502,59,9,1,3
67435847,59,13,1,2
70265365,59,9,1,3
73135144,59,7,0,2
75897226,59,6,1,4
79499710,59,8,1,3
84119972,59,3,0,3
84598802,59,3,0,3
86919710,59,7,2,2
87205842,59,3,1,4
97802893,59,9,0,3
98428808,59,4,1,4
99626253,59,2,1,4
1608782,58,6,1,2
3654188,58,2,1,2
4471216,58,2,0,3
11024863,58,7,0,2
12834390,58,4,0,1
13064364,58,8,1,1
13821856,58,6,0,2
15441095,58,3,0,1
17139324,58,4,0,3
17813923,58,2,0,4
20053958,58,7,0,2
22465049,58,5,1,2
24380917,58,5,1,2
30098436,58,7,0,2
34198789,58,4,1,1
34804162,58,6,0,3
38143544,58,4,1,2
39578411,58,9,2,2
40018790,58,3,2,2
40264299,58,3,0,3
46983464,58,7,1,3
47322911,58,2,1,1
48142340,58,4,0,2
51471168,58,2,0,3
54566362,58,8,0,1
57861090,58,4,1,1
59687339,58,2,0,2
59954576,58,3,1,2
66779502,58,7,1,3
67435847,58,2,1,2
70265365,58,8,1,3
79499710,58,10,1,3
79796046,58,4,1,1
83727627,58,12,1,1
84119972,58,5,0,2
87205842,58,3,1,3
97802893,58,10,1,3
98428808,58,4,1,3
1608782,57,4,1,2
2763473,57,3,1,1
3654188,57,3,1,1
4021273,57,5,1,2
4471216,57,2,0,3
7974374,57,9,0,4
11024863,57,17,0,2
12525672,57,10,0,2
15527678,57,12,1,1
16622966,57,6,1,4
17139324,57,5,0,3
18046907,57,4,0,1
22465049,57,3,1,2
24380917,57,6,1,3
30098436,57,8,0,2
34804162,57,5,0,2
40018790,57,2,2,2
41902513,57,6,0,1
46983464,57,3,1,3
48142340,57,4,1,2
51471168,57,2,0,3
52891671,57,6,1,1
59529237,57,5,1,2
59954576,57,7,1,2
61716335,57,3,0,3
63365212,57,3,1,2
65211124,57,7,1,2
66779502,57,4,1,3
67435847,57,2,1,2
68745602,57,6,1,2
70265365,57,10,1,3
76308416,57,5,0,2
77155258,57,7,1,3
79499710,57,5,1,3
79796046,57,3,1,1
84119972,57,4,0,2
93020073,57,3,0,2
97802893,57,4,1,2
98428808,57,2,1,2
1608782,56,4,1,2
4471216,56,4,0,3
8491406,56,13,0,2
11024863,56,13,0,2
11924320,56,3,0,3
12525672,56,14,0,2
17139324,56,6,0,2
17528525,56,4,1,3
17813923,56,11,0,3
22465049,56,4,1,2
24380917,56,5,1,3
30098436,56,9,1,2
31612997,56,8,0,2
34804162,56,2,1,2
39172425,56,7,1,2
41902513,56,4,0,1
43618774,56,3,0,2
48142340,56,6,1,2
51435602,56,8,1,1
51471168,56,2,0,4
59954576,56,7,1,2
66498505,56,7,1,4
66779502,56,3,1,3
67435847,56,2,0,2
70265365,56,11,1,3
70420392,56,2,1,4
70684488,56,5,2,2
71135651,56,3,0,3
76308416,56,7,0,2
76720761,56,6,1,3
77155258,56,7,1,3
79499710,56,3,1,3
84119972,56,5,1,3
86094263,56,7,2,2
92207321,56,6,0,1
92745033,56,4,1,1
95752051,56,4,0,2
97802893,56,8,1,2
98428808,56,3,1,3
4471216,55,5,0,3
8414051,55,7,2,2
8491406,55,12,0,2
8744813,55,3,0,2
11024863,55,3,0,2
11924320,55,3,0,3
12525672,55,12,0,2
17139324,55,9,1,2
17813923,55,13,0,4
22465049,55,6,1,2
22700910,55,5,2,3
24380917,55,3,1,2
30098436,55,13,1,2
32100244,55,5,1,2
34804162,55,5,1,2
39172425,55,7,1,2
40828311,55,5,0,2
41653332,55,7,0,4
42420903,55,3,1,3
48142340,55,6,2,2
49844246,55,3,1,1
50061553,55,4,0,2
56640814,55,5,0,2
59954576,55,3,1,2
66498505,55,12,1,4
66510628,55,7,0,4
66779502,55,2,1,3
67435847,55,2,0,2
70265365,55,8,1,3
74769634,55,3,0,2
75930184,55,11,1,2
77155258,55,4,1,2
79499710,55,3,1,3
84119972,55,7,1,3
88913776,55,11,1,1
95752051,55,2,0,2
97802893,55,7,1,2
98119660,55,3,0,1
98428808,55,7,0,3
2328173,54,3,0,2
4471216,54,4,0,2
8491406,54,3,0,3
10596821,54,4,0,1
11024863,54,8,0,2
11924320,54,3,0,3
12525672,54,8,0,2
17139324,54,9,1,2
17813923,54,6,0,3
22465049,54,5,2,2
22700910,54,5,2,3
24380917,54,3,0,3
32100244,54,4,0,2
34804162,54,5,1,2
39576419,54,4,0,1
40324392,54,5,0,1
41653332,54,12,1,4
42420903,54,8,1,3
43618774,54,6,0,2
45541754,54,5,0,3
48142340,54,3,2,2
53012909,54,11,0,1
56640814,54,5,0,2
59954576,54,3,0,2
66498505,54,11,1,4
66779502,54,3,2,3
67435847,54,2,1,2
72854922,54,5,0,1
74769634,54,4,0,2
79499710,54,6,1,3
80660365,54,5,0,2
82566793,54,3,1,2
88266441,54,5,0,2
91078595,54,9,0,2
95752051,54,2,0,2
96200285,54,2,1,2
96951007,54,2,1,4
97802893,54,4,0,2
98428808,54,6,0,3
4471216,53,5,0,2
7578513,53,4,1,4
10109801,53,3,1,2
11924320,53,4,0,3
12525672,53,4,0,2
17063622,53,6,0,2
17139324,53,4,2,2
17813923,53,7,0,3
18301956,53,5,0,2
18369152,53,5,0,1
22465049,53,7,2,2
22700910,53,5,2,3
24380917,53,3,0,3
32100244,53,3,0,2
34804162,53,2,1,2
41653332,53,8,1,4
43618774,53,4,1,2
45541754,53,5,0,4
48041306,53,4,1,3
48142340,53,3,2,2
48261912,53,5,1,2
55993217,53,3,0,2
56640814,53,9,0,1
59954576,53,3,0,2
66498505,53,4,0,4
67435847,53,4,1,2
74769634,53,4,0,2
75633371,53,5,1,4
77231993,53,3,1,1
77539373,53,6,1,3
79712531,53,6,0,2
82566793,53,2,2,3
92526884,53,4,0,1
95752051,53,6,0,2
96478880,53,10,1,2
96951007,53,4,1,5
97802893,53,9,0,1
98428808,53,3,0,3
2328173,52,11,0,2
3859931,52,7,0,1
4036833,52,4,1,1
4176129,52,7,2,2
4471216,52,7,0,2
9951276,52,8,1,3
11924320,52,5,0,3
12525672,52,3,1,2
14505830,52,6,0,1
17813923,52,6,0,3
17871092,52,6,0,2
18301956,52,2,0,2
18844724,52,6,0,1
22465049,52,10,0,3
22700910,52,5,1,3
24380917,52,3,0,3
26370047,52,6,1,2
35297641,52,3,0,1
40128130,52,9,1,1
41653332,52,2,1,3
42872123,52,9,0,1
43618774,52,2,1,2
45541754,52,3,0,4
51810348,52,8,0,4
51818968,52,5,2,2
52617756,52,5,0,1
56178454,52,3,0,2
59954576,52,4,1,1
65399479,52,3,0,4
66498505,52,3,0,3
67435847,52,4,1,2
69003923,52,7,0,2
69714599,52,12,0,2
74769634,52,3,0,2
75633371,52,4,1,4
77231993,52,4,1,1
88300818,52,4,0,3
88986175,52,7,0,1
90227578,52,5,1,1
92526884,52,5,0,1
93039671,52,8,0,2
95752051,52,6,0,2
96951007,52,7,0,4
97662178,52,5,2,3
99103183,52,5,0,2
1039480,51,6,1,3
2328173,51,15,0,2
3129615,51,5,0,2
4176129,51,5,2,2
4471216,51,8,0,2
4845976,51,4,1,2
8491406,51,10,1,2
9678501,51,3,1,1
10109801,51,3,0,4
10301911,51,7,0,3
11924320,51,5,0,3
12525672,51,3,1,2
17813923,51,5,0,4
21180745,51,5,1,2
22465049,51,5,0,3
22700910,51,3,1,2
22911293,51,4,2,1
24380917,51,3,0,3
25820600,51,7,1,1
26370047,51,4,1,2
34567789,51,9,1,3
41653332,51,2,0,3
43404290,51,2,1,1
45541754,51,12,0,4
48450508,51,6,0,1
48870773,51,2,0,2
51818968,51,2,2,2
56178454,51,5,0,2
60749728,51,6,0,1
65399479,51,5,0,4
67435847,51,6,0,2
67661823,51,10,0,1
69714599,51,9,0,2
75633371,51,3,0,3
76375561,51,7,0,2
80197616,51,5,1,3
86422389,51,5,0,2
87729654,51,7,0,3
89431864,51,10,0,2
93039671,51,5,0,2
95752051,51,11,0,2
96951007,51,7,0,4
98890799,51,8,1,1
2328173,50,8,0,2
4176129,50,2,2,2
4471216,50,5,0,2
8491406,50,4,0,2
10109801,50,2,0,3
10301911,50,7,0,3
10779698,50,4,0,1
11924320,50,5,0,3
12525672,50,4,0,2
13989814,50,2,0,1
17237961,50,9,1,1
17813923,50,7,1,4
19948147,50,3,2,1
22642595,50,4,0,2
22700910,50,6,0,2
24380917,50,10,0,3
25013557,50,3,1,1
26370047,50,4,1,2
29931971,50,3,1,1
31432838,50,8,0,1
41653332,50,4,0,3
42257330,50,8,1,3
45541754,50,11,0,3
59093090,50,6,0,2
65010909,50,4,0,2
67435847,50,6,0,3
69714599,50,2,0,2
70621573,50,5,1,2
71908133,50,2,1,3
73670419,50,5,0,1
75633371,50,2,0,3
76375561,50,7,0,2
80197616,50,7,1,2
82129898,50,5,0,1
83078878,50,4,1,4
87729654,50,6,0,4
93039671,50,2,0,2
95752051,50,11,0,2
96951007,50,8,0,3
2328173,49,7,0,2
4471216,49,6,0,2
4576634,49,4,1,7
8491406,49,3,0,2
10109801,49,3,0,2
10301911,49,3,0,3
11924320,49,3,0,3
12525672,49,3,0,2
12949124,49,9,0,2
16420630,49,3,1,3
17813923,49,8,1,4
19862325,49,3,1,3
22700910,49,8,0,2
24380917,49,11,0,2
33903682,49,8,2,2
34541479,49,6,0,2
34934865,49,13,0,1
35623705,49,2,1,1
40726089,49,6,1,1
41653332,49,9,0,3
43618774,49,14,0,3
45541754,49,2,0,2
49502050,49,15,1,5
55408285,49,12,1,2
59093090,49,6,0,2
61325828,49,5,1,3
64550740,49,2,0,4
65010909,49,3,0,2
67435847,49,3,1,2
69714599,49,4,0,2
69724563,49,10,1,2
74369516,49,4,0,3
75633371,49,3,0,3
76375561,49,5,0,2
77558328,49,2,1,1
79841597,49,7,0,1
81396150,49,3,0,2
83078878,49,5,1,3
87729654,49,3,0,4
89756067,49,3,0,1
90849772,49,3,0,2
93039671,49,3,0,2
95752051,49,3,1,2
96951007,49,13,0,3
97704052,49,10,0,2
2328173,48,6,0,2
4471216,48,6,0,2
4576634,48,11,1,6
7087231,48,3,0,2
8491406,48,3,1,2
10109801,48,6,1,2
10301911,48,4,0,2
11924320,48,3,0,4
12431854,48,5,0,2
12525672,48,2,0,2
12526727,48,3,1,2
12949124,48,10,0,2
17813923,48,10,0,4
19862325,48,7,1,2
20298323,48,4,1,1
20488274,48,9,0,1
22700910,48,5,0,2
25661232,48,7,1,3
29835270,48,7,0,1
35886221,48,3,1,1
35988100,48,6,0,3
36990133,48,2,0,3
37847363,48,6,1,1
41653332,48,10,0,3
43618774,48,14,0,3
45541754,48,2,0,2
53596518,48,8,2,3
54839720,48,6,1,1
56831069,48,3,0,2
56895998,48,8,0,1
59808194,48,4,1,2
65010909,48,3,0,2
66719080,48,14,0,3
67435847,48,4,1,2
69714599,48,5,0,2
72510049,48,3,1,1
73779108,48,3,0,3
75633371,48,3,0,2
76375561,48,16,0,2
83078878,48,6,1,3
85950198,48,5,0,2
87729654,48,3,0,3
90728688,48,2,1,3
92319773,48,2,0,2
93039671,48,4,1,2
93615588,48,2,0,1
95752051,48,4,1,2
96951007,48,9,2,2
728448,47,11,0,1
2328173,47,5,0,2
4471216,47,3,1,1
4576634,47,9,0,6
6296072,47,2,1,3
7336747,47,4,0,1
8491406,47,4,1,1
10109801,47,6,1,1
10301911,47,3,1,3
11924320,47,3,0,3
12949124,47,4,0,2
13763035,47,3,0,2
14115557,47,3,1,1
16420630,47,2,0,2
17813923,47,8,0,4
18600559,47,4,0,2
20612225,47,7,0,1
22435400,47,4,2,2
22700910,47,3,0,2
41653332,47,9,1,2
43618774,47,7,1,3
44099112,47,2,0,3
45541754,47,2,0,1
50116685,47,3,1,1
55350415,47,5,1,1
56831069,47,4,2,2
63150980,47,3,0,1
64378388,47,2,1,2
65585705,47,4,0,1
67241470,47,7,0,3
67435847,47,6,0,3
68330735,47,2,0,1
68657830,47,6,1,1
69714599,47,3,0,2
74769634,47,4,1,2
75633371,47,6,1,2
77321024,47,2,0,2
77743764,47,7,0,1
81358084,47,3,0,1
83078878,47,9,1,3
87708504,47,2,0,1
87729654,47,3,1,4
90728688,47,5,1,3
91246230,47,6,0,2
93039671,47,6,1,2
95752051,47,3,0,2
96951007,47,2,2,2
98512488,47,2,0,1
99992912,47,4,0,1
1870854,46,5,1,3
4576634,46,4,0,5
9099914,46,2,1,2
10301911,46,5,1,2
11253877,46,10,1,3
11924320,46,4,0,3
12949124,46,3,1,2
14115557,46,2,1,1
16420630,46,6,0,2
17813923,46,5,0,4
18886426,46,12,1,3
19230229,46,4,0,1
22435400,46,4,2,2
22700910,46,5,0,2
31137350,46,13,1,1
34816684,46,2,0,2
37089673,46,12,0,2
40051959,46,3,1,2
41653332,46,7,1,2
43618774,46,10,1,3
50380318,46,2,0,1
53596518,46,6,1,3
55350415,46,10,1,1
56198539,46,7,1,2
56831069,46,4,2,2
59093090,46,2,0,1
61325828,46,2,0,3
62511081,46,5,0,3
64068765,46,5,2,1
64093030,46,6,2,1
64550740,46,7,1,4
64964515,46,5,0,1
67435847,46,8,0,3
69714599,46,4,0,2
71573903,46,5,2,3
74769634,46,6,0,2
75633371,46,13,1,1
77321024,46,2,0,2
78595070,46,4,1,2
83078878,46,7,0,3
83453451,46,8,0,2
84327537,46,12,0,2
87729654,46,4,1,3
88505761,46,9,0,2
91137750,46,5,0,1
92046278,46,2,0,3
93039671,46,5,1,2
95003952,46,7,0,1
95433210,46,4,0,1
95752051,46,3,0,2
96951007,46,7,2,2
97697985,46,2,1,3
99992912,46,3,0,1
935067,45,6,0,4
1870854,45,5,1,3
4576634,45,4,0,5
10301911,45,5,0,2
11924320,45,14,1,3
12949124,45,4,1,2
16261193,45,3,1,2
16420630,45,6,0,1
17813923,45,4,0,3
20143312,45,6,1,1
21794030,45,6,0,4
22435400,45,9,2,2
31796042,45,10,1,3
38591224,45,3,0,1
43940151,45,6,1,1
45448247,45,3,0,1
48821085,45,4,1,2
53596518,45,3,1,3
61325828,45,2,0,3
62819995,45,5,0,1
64550740,45,6,1,3
67435847,45,7,1,3
67753674,45,8,0,2
68404804,45,6,0,1
69714599,45,9,0,2
71116530,45,3,0,1
74769634,45,5,0,2
76953559,45,6,0,1
77321024,45,2,1,3
77771795,45,13,0,1
83078878,45,3,0,3
84327537,45,12,0,2
87729654,45,4,0,3
93039671,45,2,1,2
95752051,45,4,0,2
96951007,45,7,1,2
97697985,45,2,1,3
4576634,44,3,0,4
7363891,44,2,0,1
10301911,44,2,0,2
11865436,44,9,0,2
11924320,44,15,1,3
12949124,44,4,1,1
15322671,44,4,0,2
17813923,44,4,1,3
18413676,44,2,2,2
19530723,44,8,1,2
22435400,44,9,2,2
24374320,44,5,0,2
24881360,44,3,1,2
31796042,44,13,1,3
33615432,44,6,0,1
34301674,44,8,1,2
40810093,44,6,0,1
42819795,44,11,0,2
44826736,44,5,0,2
46961967,44,13,0,1
49019633,44,11,1,1
52037188,44,2,1,2
52184461,44,7,0,1
53596518,44,4,1,2
61325828,44,6,1,3
62782926,44,4,0,1
64550740,44,7,1,3
65159204,44,6,0,1
66560053,44,9,1,1
67435847,44,4,1,2
69714599,44,8,0,2
74769634,44,5,0,2
75421264,44,3,0,2
77321024,44,4,1,3
83078878,44,3,0,4
85408257,44,9,0,1
87729654,44,3,0,3
93039671,44,6,1,2
95752051,44,4,0,2
97697985,44,2,1,2
1870854,43,3,0,2
3648708,43,13,1,2
4576634,43,7,0,4
7037939,43,5,0,1
7060775,43,15,1,3
10301911,43,2,1,1
10887163,43,13,0,3
11924320,43,12,0,3
12498255,43,5,0,2
14992340,43,2,1,2
17813923,43,11,1,3
18867546,43,3,0,2
20858090,43,2,2,2
22110363,43,8,0,3
22435400,43,3,0,2
26396458,43,4,0,2
33821605,43,3,0,1
39021745,43,3,1,1
40478554,43,4,0,1
42819795,43,2,0,2
49857731,43,2,1,2
53596518,43,3,1,2
56831069,43,4,0,3
57996271,43,8,0,2
61325828,43,8,1,2
61933031,43,2,0,2
63244027,43,7,0,1
64550740,43,8,0,3
65285946,43,3,1,1
65399479,43,6,2,3
67266690,43,6,1,1
69714599,43,4,0,2
69946552,43,6,0,2
71918444,43,2,0,1
75332311,43,3,0,2
75421264,43,5,1,2
77321024,43,9,2,2
82335091,43,2,1,2
83078878,43,2,0,4
85206902,43,3,0,2
87729654,43,2,0,2
89377264,43,8,0,2
93039671,43,11,1,2
95752051,43,3,1,3
96051639,43,4,0,2
96951007,43,5,0,2
99842206,43,2,1,3
1870854,42,3,0,2
4202474,42,5,0,1
4576634,42,8,0,3
7060775,42,16,1,3
8944240,42,7,0,2
11118342,42,8,1,2
11634623,42,2,0,3
11924320,42,12,0,2
13448570,42,5,0,1
18553991,42,7,0,2
20858090,42,2,2,2
22110363,42,10,0,3
22435400,42,6,0,2
24247788,42,3,1,1
24967092,42,2,1,1
25546271,42,5,0,1
26058885,42,7,1,1
31320798,42,2,0,2
35861145,42,4,0,1
37583876,42,8,0,2
39330915,42,10,0,3
40325033,42,5,1,1
42819795,42,3,0,1
43516366,42,6,0,1
43769859,42,9,1,1
44058214,42,5,1,3
44156130,42,6,0,1
48423641,42,7,1,1
53466892,42,3,1,2
55410955,42,5,0,2
56831069,42,8,0,4
61325828,42,4,2,2
61933031,42,8,0,2
64083897,42,3,0,2
64550740,42,5,0,2
65399479,42,15,2,3
66861159,42,4,2,1
67266690,42,4,1,1
69714599,42,3,1,1
83078878,42,2,0,4
85049264,42,7,1,2
87729654,42,5,0,3
93039671,42,9,1,1
96028220,42,6,0,1
96951007,42,7,0,2
99807282,42,2,0,1
1178758,41,2,0,2
1870854,41,3,0,2
4576634,41,4,1,2
7060775,41,6,1,2
8056160,41,7,0,1
10921606,41,2,0,1
11924320,41,5,0,2
12517201,41,2,0,3
14618047,41,7,1,2
16915889,41,14,0,2
17793953,41,3,1,1
20858090,41,2,2,2
22110363,41,6,1,2
22435400,41,5,0,2
32074404,41,3,0,2
41853029,41,6,0,2
48811890,41,13,1,1
53466892,41,5,1,2
53921831,41,2,0,1
54622003,41,5,0,1
55578375,41,7,1,1
55922669,41,4,1,1
56831069,41,6,1,4
57860797,41,5,0,1
61325828,41,2,2,2
61933031,41,9,0,2
65399479,41,13,1,3
73129986,41,7,1,1
83078878,41,5,0,4
85049264,41,6,0,2
87729654,41,5,0,3
88443270,41,7,1,1
88959046,41,16,1,1
89498910,41,4,1,2
92560163,41,3,1,2
94380049,41,3,0,1
96237021,41,9,0,1
96905014,41,12,0,2
96951007,41,4,0,1
97697985,41,11,0,2
1610968,40,10,1,1
1870854,40,8,0,2
4653692,40,2,0,2
8364546,40,4,1,1
11290769,40,4,0,2
11924320,40,9,0,2
13344940,40,2,0,2
20858090,40,2,2,2
22435400,40,5,0,1
22918307,40,6,0,2
24290229,40,5,0,1
26763813,40,17,0,1
26954068,40,4,2,1
31001610,40,6,0,2
31290434,40,9,1,1
33244048,40,5,0,1
34212838,40,3,1,2
34778714,40,3,0,2
35326267,40,2,0,1
42372876,40,5,0,1
44058214,40,7,0,4
48811890,40,6,1,1
53062728,40,4,0,2
53596518,40,5,1,3
53716283,40,9,1,3
54191846,40,5,0,3
56831069,40,2,1,3
56979252,40,3,1,1
57580181,40,4,1,1
59426472,40,6,2,2
59811997,40,9,2,1
61325828,40,5,0,2
61933031,40,4,0,2
62278418,40,4,1,1
65399479,40,2,1,2
65717110,40,11,1,1
66228133,40,5,1,1
67073889,40,4,0,2
67622960,40,4,2,2
81375626,40,3,0,1
83078878,40,5,0,4
85049264,40,3,0,2
85206902,40,2,0,2
87729654,40,2,0,3
89498910,40,4,1,2
95644962,40,2,1,2
98526535,40,9,1,2
26508,39,6,0,1
1508283,39,3,1,1
1870854,39,10,0,2
2906624,39,11,0,1
5454618,39,7,0,3
5615479,39,8,0,2
5685811,39,8,0,3
11420601,39,5,1,3
11924320,39,13,0,1
12462330,39,8,0,2
13344940,39,3,0,2
15098452,39,6,0,2
16227764,39,13,1,2
16915889,39,7,1,3
22364868,39,2,1,3
22918307,39,8,0,2
26335331,39,3,1,3
30015350,39,2,0,3
30175958,39,12,0,1
37307027,39,6,1,1
38442078,39,3,1,1
39112620,39,3,0,1
44058214,39,7,0,4
44627911,39,5,0,1
46839705,39,4,1,3
51450864,39,2,1,3
53596518,39,4,1,2
56831069,39,2,0,3
57580181,39,4,1,1
57840299,39,6,1,1
59426472,39,3,2,2
61254083,39,6,0,2
61325828,39,16,0,2
61933031,39,3,0,2
65399479,39,2,2,2
70627208,39,9,2,2
71062815,39,4,1,1
74581647,39,11,0,2
75744426,39,3,1,1
80258177,39,4,0,1
82105754,39,6,1,2
82732638,39,6,0,1
85206902,39,2,0,2
87065821,39,3,1,1
87729654,39,2,1,2
88711883,39,13,0,2
89498910,39,3,1,2
95302937,39,3,1,3
98199443,39,4,0,2
768951,38,7,0,2
1870854,38,5,0,2
3357646,38,2,0,1
4481740,38,2,0,2
5615479,38,7,0,2
5812648,38,4,0,1
12334529,38,3,1,2
12462330,38,8,0,2
14100757,38,4,0,2
15098452,38,6,0,2
15951355,38,3,0,1
16915889,38,3,1,3
18254827,38,2,2,2
18265029,38,6,0,2
20858090,38,6,1,2
22389825,38,8,0,2
22918307,38,7,0,2
23005058,38,6,0,2
43275013,38,5,0,2
43617421,38,6,0,2
44058214,38,10,0,3
44061005,38,11,1,2
46839705,38,6,1,3
51450864,38,3,1,2
53596518,38,6,1,2
53963465,38,6,0,2
56831069,38,2,0,3
60211942,38,3,1,1
60752558,38,5,0,1
61325828,38,15,0,2
61475946,38,10,0,4
61614917,38,2,1,3
61933031,38,4,0,2
61998914,38,6,1,2
62231534,38,4,0,1
65399479,38,3,2,2
66324781,38,4,2,1
67033785,38,6,0,2
70139890,38,9,0,1
73669444,38,7,0,1
75713116,38,3,1,3
75744426,38,2,1,1
79902899,38,3,0,1
82102645,38,11,0,1
82482862,38,7,0,2
85206902,38,6,0,2
89014408,38,4,0,2
89498910,38,3,1,2
90479876,38,4,0,3
92100865,38,9,1,3
95302937,38,4,1,3
97010090,38,7,0,2
97697985,38,13,2,2
98199443,38,5,0,2
98544489,38,7,0,2
1870854,37,5,1,3
3659282,37,3,0,1
4079953,37,4,2,2
5615479,37,2,1,2
5916587,37,4,0,1
8122514,37,5,1,1
11345185,37,3,0,1
11691594,37,2,1,2
11778697,37,7,0,2
14361667,37,4,0,2
14607732,37,6,1,1
15098452,37,8,0,1
15490431,37,5,0,2
17755689,37,8,0,1
18265029,37,3,0,3
19046955,37,4,0,1
19412198,37,5,0,1
22918307,37,5,0,2
25401484,37,8,1,1
25455897,37,10,1,4
25582198,37,4,1,1
25690023,37,2,0,1
32777842,37,3,0,1
34479120,37,7,1,3
35266032,37,8,2,1
36501698,37,3,0,1
39124103,37,5,0,2
39520456,37,7,1,1
40040321,37,8,0,2
40208801,37,10,1,2
40268351,37,2,0,1
43275013,37,5,0,2
46157368,37,8,1,3
53270326,37,10,0,2
53963465,37,13,0,2
55460960,37,2,0,2
56831069,37,2,0,4
58230245,37,9,0,2
58401787,37,6,1,2
60207228,37,8,2,5
60295828,37,3,0,2
61325828,37,4,0,2
61614917,37,6,0,2
61933031,37,4,0,2
61998914,37,15,1,2
64059224,37,6,0,2
67326826,37,5,1,1
68194873,37,8,1,3
69066338,37,4,0,3
71164308,37,2,0,1
74286468,37,11,1,1
75713116,37,8,1,3
76913313,37,10,0,1
77106804,37,6,2,2
77426877,37,8,1,2
81349644,37,12,1,2
82914925,37,8,1,2
84443440,37,3,0,2
85206902,37,6,0,2
89498910,37,4,1,2
90479876,37,4,0,2
92100865,37,8,1,3
92561468,37,3,1,1
97697985,37,5,1,2
97993173,37,7,0,1
1870854,36,6,1,3
4832297,36,7,1,1
5615479,36,2,1,1
11691594,36,6,1,2
11778697,36,9,0,2
