种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数
29120741,50,14,0,2
48379755,50,14,0,3
73104063,50,14,0,2
60781664,51,14,1,2
18962895,52,14,1,2
84753721,53,14,0,4
11748899,54,14,1,4
13658572,54,14,0,3
85162460,55,14,1,3
12525672,56,14,0,2
52895021,56,14,1,2
10204537,57,14,0,1
65846694,57,14,0,1
1683889,58,14,0,3
42787098,59,14,1,2
46451799,59,14,0,3
64436297,59,14,1,2
33283970,60,14,0,4
46451799,60,14,0,3
93009510,60,14,1,2
50030040,61,14,0,3
65923332,61,14,0,2
2285002,62,14,0,1
15522495,63,14,0,3
13151559,64,14,0,2
11778697,32,13,0,3
12066347,32,13,0,1
20520190,32,13,0,1
30678457,32,13,1,1
40208801,32,13,1,3
41584832,32,13,1,1
54049623,32,13,2,1
58717340,32,13,0,2
61180772,32,13,0,1
90715781,32,13,0,1
94617226,32,13,0,1
3432155,33,13,0,1
4001094,33,13,0,1
22052956,33,13,1,2
59052433,33,13,0,2
67272246,33,13,0,4
71149289,33,13,0,1
90578832,33,13,0,2
36599485,34,13,0,1
37095612,34,13,0,2
59052433,34,13,1,2
85180757,34,13,0,2
6995258,35,13,1,1
29524619,35,13,0,3
32595078,35,13,1,1
5659435,36,13,0,2
17206926,36,13,1,2
17743440,36,13,0,1
19477793,36,13,1,1
48379755,36,13,0,2
64089886,36,13,0,2
66249071,36,13,0,1
5659435,37,13,0,2
28917607,37,13,0,2
53963465,37,13,0,2
90629032,37,13,1,1
49108029,38,13,0,2
64863601,38,13,1,1
95411928,38,13,1,2
97697985,38,13,2,2
11924320,39,13,0,1
16227764,39,13,1,2
59823316,39,13,0,2
76128466,39,13,0,2
88711883,39,13,0,2
88979575,39,13,0,1
14321086,40,13,1,2
47499811,40,13,0,3
49315632,40,13,0,1
66998155,40,13,0,1
22619577,41,13,1,2
42687907,41,13,1,3
48811890,41,13,1,1
65399479,41,13,1,3
28465922,42,13,0,2
72051458,42,13,1,1
3648708,43,13,1,2
10887163,43,13,0,3
84858334,43,13,0,4
22619577,44,13,0,3
31796042,44,13,1,3
46961967,44,13,0,1
38463941,45,13,1,2
77771795,45,13,0,1
20155103,46,13,1,2
31137350,46,13,1,1
75633371,46,13,1,1
88524733,46,13,0,3
88967633,46,13,0,1
99425373,46,13,0,2
27363462,47,13,1,2
89500865,47,13,0,2
91391778,47,13,0,1
92564685,47,13,1,2
87961103,48,13,0,1
34934865,49,13,0,1
48379755,49,13,0,3
96951007,49,13,0,3
11732187,50,13,2,1
20645978,50,13,1,3
82872353,50,13,0,2
89328491,50,13,2,2
43165179,51,13,0,1
71395142,51,13,1,1
82763398,52,13,0,4
96731535,52,13,2,1
1896323,53,13,0,1
17671406,53,13,0,2
37350862,53,13,2,3
67118727,53,13,1,3
10519025,54,13,1,3
33999024,54,13,0,2
17813923,55,13,0,4
30098436,55,13,1,2
59693754,55,13,0,1
79672622,55,13,0,2
85569289,55,13,1,1
8491406,56,13,0,2
11024863,56,13,0,2
72152996,57,13,0,3
73250700,57,13,1,2
46193614,58,13,2,4
61856416,58,13,0,2
5234223,59,13,0,3
46193614,59,13,2,4
54139800,59,13,1,2
67435847,59,13,1,2
11512130,60,13,1,3
31791539,60,13,0,1
64436297,60,13,1,2
67435847,60,13,1,2
18041319,61,13,0,3
55021936,61,13,0,1
66948688,61,13,1,3
68093453,61,13,1,4
45285901,62,13,0,3
48288679,62,13,0,4
61856416,62,13,1,2
66948688,62,13,1,3
2182975,63,13,0,1
34683559,63,13,1,2
61856416,63,13,1,2
76391533,63,13,0,3
15522495,64,13,0,3
39313801,64,13,1,2
61856416,64,13,1,2
67244093,64,13,1,2
79227918,64,13,0,1
86376890,64,13,1,2
9936317,32,12,0,2
16915889,32,12,1,2
25437619,32,12,1,1
30171630,32,12,0,1
39304454,32,12,0,1
44028078,32,12,1,2
45357237,32,12,0,1
48818144,32,12,0,2
50502675,32,12,0,1
53435948,32,12,0,3
72505464,32,12,1,2
73779496,32,12,0,3
79856625,32,12,0,1
84092452,32,12,0,1
91681541,32,12,0,1
6776648,33,12,0,1
11077067,33,12,0,1
24181031,33,12,0,1
25877977,33,12,1,1
54977819,33,12,0,1
62369691,33,12,0,1
73937753,33,12,0,2
5223724,34,12,1,3
31320688,34,12,1,1
36767993,34,12,1,1
3197002,35,12,1,2
13386299,35,12,0,2
14234809,35,12,1,1
17288473,35,12,0,2
46301486,35,12,0,2
78114732,35,12,1,1
83600628,35,12,0,1
37563866,36,12,0,2
45137683,36,12,1,1
51162153,36,12,1,2
53963465,36,12,0,2
54049623,36,12,0,2
57676939,36,12,1,1
89428501,36,12,0,1
24328274,37,12,0,2
81349644,37,12,1,2
96092848,37,12,2,2
96962234,37,12,1,2
86139563,38,12,0,1
90184047,38,12,0,1
14857842,39,12,1,2
30175958,39,12,0,1
35756830,39,12,1,2
47499811,39,12,0,3
56262492,39,12,0,1
59924356,39,12,2,1
6653457,40,12,2,1
43056143,40,12,1,4
65344118,40,12,1,2
66434975,40,12,1,2
73411242,40,12,1,1
92343579,40,12,1,1
55894573,41,12,1,1
67229060,41,12,0,2
72414956,41,12,0,1
96905014,41,12,0,2
1429086,42,12,0,1
6706196,42,12,0,2
11924320,42,12,0,2
44487614,42,12,1,2
11924320,43,12,0,3
21039704,43,12,0,4
26185746,43,12,0,3
46324236,43,12,0,3
74213251,43,12,0,1
6143546,44,12,0,2
82050544,44,12,1,2
99307081,44,12,0,2
2916183,45,12,0,2
84327537,45,12,0,2
18562883,46,12,0,1
18886426,46,12,1,3
37089673,46,12,0,2
44874434,46,12,1,1
84327537,46,12,0,2
20703391,47,12,0,2
28135173,47,12,0,2
34581114,47,12,1,3
55443081,47,12,1,2
58471231,47,12,1,4
89337926,47,12,0,2
56364025,48,12,1,1
6143546,49,12,1,3
55408285,49,12,1,2
77132057,49,12,0,2
24110530,50,12,1,3
30334642,51,12,2,3
45541754,51,12,0,4
53911967,52,12,1,3
69714599,52,12,0,2
95760331,52,12,1,1
95467236,53,12,1,2
4543220,54,12,0,1
41653332,54,12,1,4
8491406,55,12,0,2
12525672,55,12,0,2
24731711,55,12,0,4
28167559,55,12,0,2
66498505,55,12,1,4
73737355,55,12,0,3
41160000,56,12,1,2
94079813,56,12,2,3
95318247,56,12,0,1
15527678,57,12,1,1
71878407,57,12,0,2
73285572,57,12,1,1
11512130,58,12,0,3
73250700,58,12,2,2
73285572,58,12,1,1
83727627,58,12,1,1
1683889,59,12,0,3
29604636,59,12,0,2
32246551,59,12,1,1
68593041,59,12,0,3
76906228,59,12,0,3
41837156,60,12,0,2
68093453,60,12,1,3
99910033,60,12,0,2
28024941,61,12,0,4
35557938,61,12,1,2
59289141,61,12,0,2
38985043,62,12,0,1
68093453,62,12,2,4
81911097,62,12,0,4
6942493,63,12,0,3
10524158,63,12,1,2
53108564,63,12,0,2
68565532,63,12,0,3
98207333,63,12,0,2
15962179,64,12,1,2
26121837,64,12,1,3
43203581,64,12,0,1
6776182,32,11,1,2
26854190,32,11,0,2
30396744,32,11,0,2
50531019,32,11,0,2
61432245,32,11,0,1
61881048,32,11,1,2
63098856,32,11,1,1
67272246,32,11,0,3
71730200,32,11,0,2
72740097,32,11,0,2
76020573,32,11,0,2
77719895,32,11,0,2
82228894,32,11,1,3
99002925,32,11,0,1
5223724,33,11,1,2
6683186,33,11,0,3
7876454,33,11,0,3
17288473,33,11,0,1
22918307,33,11,0,3
28777706,33,11,0,2
31866108,33,11,0,2
40758382,33,11,1,2
46171184,33,11,0,3
47127394,33,11,1,1
61291459,33,11,1,2
66869868,33,11,0,1
70330495,33,11,1,2
7970862,34,11,1,1
22918307,34,11,0,3
36005772,34,11,0,2
50173759,34,11,0,3
66485780,34,11,2,2
67229060,34,11,0,2
67272246,34,11,1,4
91515596,34,11,1,2
1160887,35,11,1,1
4789871,35,11,0,4
11164756,35,11,1,2
14913612,35,11,0,3
16044825,35,11,0,1
21001964,35,11,2,2
30004885,35,11,1,2
50173759,35,11,0,3
57384060,35,11,0,2
69635645,35,11,0,2
74256026,35,11,0,1
78933241,35,11,1,1
86334886,35,11,0,1
90912344,35,11,0,1
91515596,35,11,1,2
96512955,35,11,0,2
4789871,36,11,0,5
13281511,36,11,0,1
20030207,36,11,0,1
23118959,36,11,0,1
32138040,36,11,0,1
32397850,36,11,0,1
37095612,36,11,1,2
38941066,36,11,0,1
44055895,36,11,0,2
50010333,36,11,1,1
51277039,36,11,0,2
52312448,36,11,0,2
65423315,36,11,1,1
71682796,36,11,0,3
76129731,36,11,1,1
83822685,36,11,1,3
93783573,36,11,0,2
21594162,37,11,0,1
22619577,37,11,1,2
23587981,37,11,1,1
62506382,37,11,1,2
62798555,37,11,0,2
64762291,37,11,0,3
74286468,37,11,1,1
78428452,37,11,0,1
93519995,37,11,1,2
6706196,38,11,0,2
23056915,38,11,1,3
35627284,38,11,0,2
44061005,38,11,1,2
50282727,38,11,0,1
82102645,38,11,0,1
87675088,38,11,0,1
97004228,38,11,0,1
2906624,39,11,0,1
5277048,39,11,0,1
9074459,39,11,0,2
14321086,39,11,1,2
47561628,39,11,0,1
56038212,39,11,1,1
74581647,39,11,0,2
89338844,39,11,0,1
89726014,39,11,0,1
5223724,40,11,1,3
57289418,40,11,1,1
65717110,40,11,1,1
93477681,40,11,1,2
96141393,40,11,0,1
96681627,40,11,0,1
98168026,40,11,2,3
33533304,41,11,0,2
38463941,41,11,0,2
97697985,41,11,0,2
54092734,42,11,1,3
68616957,42,11,0,3
17813923,43,11,1,3
21729685,43,11,1,3
29691668,43,11,2,3
52762137,43,11,1,2
67865474,43,11,1,2
93039671,43,11,1,2
26185746,44,11,0,3
42819795,44,11,0,2
49019633,44,11,1,1
55019898,44,11,0,1
55662728,44,11,1,3
8417253,45,11,0,1
39469735,45,11,1,2
60717195,45,11,1,2
75892378,45,11,1,1
88010056,45,11,0,2
95134586,45,11,0,3
11755086,46,11,0,2
27363462,46,11,1,2
39103517,46,11,1,5
39469735,46,11,1,2
58471231,46,11,1,3
63948874,46,11,0,1
68258011,46,11,0,1
80892369,46,11,0,2
728448,47,11,0,1
46094462,47,11,2,2
48637539,47,11,1,1
95437660,47,11,1,2
4576634,48,11,1,6
52678064,48,11,0,3
65174378,48,11,0,1
73737355,48,11,2,4
4131562,49,11,0,2
9299949,49,11,0,2
24380917,49,11,0,2
61950009,49,11,2,2
86947560,49,11,0,2
35366053,50,11,1,4
45541754,50,11,0,3
59153874,50,11,0,4
68415894,50,11,1,3
95752051,50,11,0,2
23358078,51,11,1,1
24110530,51,11,1,3
52678064,51,11,0,3
84381877,51,11,1,4
95752051,51,11,0,2
2328173,52,11,0,2
54067567,52,11,0,2
85899857,52,11,1,3
191852,53,11,1,3
9854582,53,11,0,4
11748899,53,11,0,4
20124968,53,11,2,2
59153874,53,11,0,2
87545702,53,11,2,2
91237809,53,11,0,2
94079813,53,11,2,3
8784225,54,11,0,2
13048039,54,11,2,2
28167559,54,11,1,2
46094462,54,11,0,3
47498221,54,11,0,4
53012909,54,11,0,1
66498505,54,11,1,4
73737355,54,11,0,3
84753721,54,11,0,4
85162460,54,11,1,3
95134586,54,11,0,3
95467236,54,11,1,2
46094462,55,11,0,2
75930184,55,11,1,2
77766491,55,11,2,2
88913776,55,11,1,1
6483918,56,11,0,3
12331881,56,11,0,2
17813923,56,11,0,3
70265365,56,11,1,3
90355606,56,11,0,2
97916234,56,11,0,1
29439256,57,11,0,2
59978693,57,11,0,2
33283970,58,11,0,4
67244093,58,11,1,2
71878407,58,11,0,2
90610179,58,11,0,2
29356794,59,11,1,2
34761870,59,11,0,2
19522147,60,11,0,3
83722881,60,11,1,2
95595626,60,11,1,2
11512130,61,11,0,3
81469341,61,11,0,3
26121837,62,11,0,1
28024941,62,11,0,4
99626253,62,11,0,3
9455776,63,11,1,2
12036665,63,11,0,5
33844715,63,11,0,2
40395876,63,11,1,2
66779502,63,11,0,2
74959579,63,11,0,3
97152895,63,11,0,3
39989391,64,11,1,1
80819064,64,11,1,2
2268256,32,10,1,1
7876454,32,10,0,3
23212016,32,10,0,4
24175109,32,10,0,2
35903317,32,10,1,1
52260015,32,10,0,2
52696674,32,10,0,2
61291459,32,10,1,1
67303940,32,10,0,1
73666606,32,10,1,1
74543485,32,10,0,2
86923257,32,10,1,1
94994623,32,10,0,2
95722614,32,10,0,2
5973126,33,10,0,1
13313123,33,10,1,1
30605635,33,10,2,2
39563353,33,10,0,2
49628478,33,10,0,1
50531019,33,10,0,2
61998914,33,10,0,2
64702000,33,10,0,1
80743528,33,10,0,1
93337135,33,10,0,1
2632705,34,10,0,1
7876454,34,10,0,2
8793033,34,10,0,2
9415946,34,10,0,1
23747179,34,10,1,1
28612313,34,10,0,1
35637835,34,10,0,1
45647577,34,10,2,2
48332872,34,10,1,2
50894886,34,10,1,1
53084903,34,10,0,1
61998914,34,10,0,2
67343080,34,10,0,1
68262277,34,10,0,1
125991,35,10,0,2
18586107,35,10,0,2
20267046,35,10,0,2
30226747,35,10,0,3
42764176,35,10,0,2
44916185,35,10,0,1
47571187,35,10,2,2
91302797,35,10,0,2
95134586,35,10,0,2
22475911,36,10,1,2
22619577,36,10,1,2
26051774,36,10,0,1
26930955,36,10,0,1
28320108,36,10,0,2
47038724,36,10,0,2
61708285,36,10,0,2
62798555,36,10,0,2
71187427,36,10,0,2
79341390,36,10,0,2
80627548,36,10,1,1
95134586,36,10,1,2
99914916,36,10,0,1
3164241,37,10,1,2
14857842,37,10,0,1
19074354,37,10,0,1
25455897,37,10,1,4
26881994,37,10,1,2
28048447,37,10,1,3
40208801,37,10,1,2
43256544,37,10,0,1
53270326,37,10,0,2
60963995,37,10,0,1
62674279,37,10,0,1
70962523,37,10,1,1
76913313,37,10,0,1
94638246,37,10,0,1
97020383,37,10,0,2
3522469,38,10,0,2
12185776,38,10,2,1
12293554,38,10,0,1
34176651,38,10,0,3
44058214,38,10,0,3
51251332,38,10,0,2
59120534,38,10,0,1
61475946,38,10,0,4
62506382,38,10,1,2
73460483,38,10,1,1
73569599,38,10,0,1
74539918,38,10,0,2
77056654,38,10,1,2
81273590,38,10,1,1
83092660,38,10,0,2
91214821,38,10,0,1
1870854,39,10,0,2
11038444,39,10,0,1
30798527,39,10,0,2
62798555,39,10,0,2
79754449,39,10,0,1
79818505,39,10,1,1
83380752,39,10,0,2
1610968,40,10,1,1
2777676,40,10,0,6
88194588,40,10,0,1
2282580,41,10,0,2
15527208,41,10,1,2
17288473,41,10,1,2
17953559,41,10,0,1
27684955,41,10,1,1
60963995,41,10,1,3
68616957,41,10,0,3
97734728,41,10,0,2
9509804,42,10,0,3
16554412,42,10,0,2
22110363,42,10,0,3
24412273,42,10,0,2
38463941,42,10,0,3
39330915,42,10,0,3
45000514,42,10,0,1
46301486,42,10,0,2
58989871,42,10,1,3
60963995,42,10,1,2
63335190,42,10,1,2
82952732,42,10,0,3
91064767,42,10,0,1
99974471,42,10,0,2
16554412,43,10,0,2
63335190,43,10,1,2
67229060,43,10,0,2
99307081,43,10,0,2
3476854,44,10,0,2
18248376,44,10,0,1
22431931,44,10,1,1
31919601,44,10,0,1
66532284,44,10,0,2
92060415,44,10,0,1
6143546,45,10,0,2
13350536,45,10,1,2
31796042,45,10,1,3
34683860,45,10,0,1
54329204,45,10,0,2
64056267,45,10,1,1
69274751,45,10,1,4
99332442,45,10,0,4
1764349,46,10,1,1
11253877,46,10,1,3
21039704,46,10,1,6
23149634,46,10,0,1
28825313,46,10,1,2
29365049,46,10,1,3
37137744,46,10,0,2
43618774,46,10,1,3
52518091,46,10,1,1
55350415,46,10,1,1
80379282,46,10,0,1
10409471,47,10,0,1
21039704,47,10,1,6
42687907,47,10,1,2
52678064,47,10,1,3
77766491,47,10,0,2
10474699,48,10,1,1
11512130,48,10,1,4
12949124,48,10,0,2
17813923,48,10,0,4
41653332,48,10,0,3
71404226,48,10,1,2
84492945,48,10,0,3
91671054,48,10,0,1
3146119,49,10,0,2
19698155,49,10,0,1
59525709,49,10,1,2
69724563,49,10,1,2
84492945,49,10,0,3
97704052,49,10,0,2
98844816,49,10,0,1
3146119,50,10,0,2
17987383,50,10,0,1
24380917,50,10,0,3
68348889,50,10,1,2
69604594,50,10,1,1
92325748,50,10,0,3
99307081,50,10,0,2
8491406,51,10,1,2
14426708,51,10,0,2
26205906,51,10,0,2
30593053,51,10,0,3
40910308,51,10,0,2
67661823,51,10,0,1
89431864,51,10,0,2
22465049,52,10,0,3
77498912,52,10,2,2
95477788,52,10,1,3
13658572,53,10,1,2
41963993,53,10,0,3
53911967,53,10,1,3
54067567,53,10,0,2
96478880,53,10,1,2
24731711,54,10,0,3
26743463,54,10,1,1
27865626,54,10,0,1
76173953,54,10,0,1
77766491,54,10,2,2
81088879,54,10,0,2
87163826,54,10,0,1
94079813,54,10,2,3
95595626,54,10,0,4
13352084,55,10,1,2
13983503,55,10,1,1
41070998,55,10,2,1
42787098,55,10,0,2
63540335,55,10,0,2
84753721,55,10,1,3
9854582,56,10,0,4
12609603,56,10,0,2
30790892,56,10,0,3
55607676,56,10,1,4
56744640,56,10,0,2
66951841,56,10,1,1
84753721,56,10,1,3
95477788,56,10,0,2
11512130,57,10,0,3
12525672,57,10,0,2
17671406,57,10,1,3
33119467,57,10,0,1
70265365,57,10,1,3
70967568,58,10,1,4
79499710,58,10,1,3
97802893,58,10,1,3
16053045,59,10,1,2
31107588,59,10,0,2
62780251,59,10,0,4
71644532,59,10,0,1
2419426,60,10,1,4
16453237,60,10,0,3
34761870,60,10,0,2
38697254,60,10,0,2
46125733,60,10,1,3
56252755,60,10,0,2
61856416,60,10,1,2
17671406,61,10,0,3
42787098,61,10,1,2
47953826,61,10,2,3
67678156,61,10,0,3
96476336,61,10,1,2
99917306,61,10,1,3
12036665,62,10,1,4
40290500,62,10,2,2
40972752,62,10,0,1
66779502,62,10,0,2
68565532,62,10,0,3
83924400,62,10,1,5
96025930,62,10,1,1
10101258,63,10,0,6
26121837,63,10,1,2
44072199,63,10,1,2
60280848,63,10,2,2
65053993,63,10,1,1
67013592,63,10,1,2
83924400,63,10,1,5
5214703,64,10,0,4
8931581,64,10,1,1
16812174,64,10,1,5
35895927,64,10,0,1
45939750,64,10,0,1
53108564,64,10,0,3
67748264,64,10,1,2
72650303,64,10,0,2
90725909,64,10,1,3
954715,32,9,0,1
3061227,32,9,0,1
8395668,32,9,1,2
9479306,32,9,1,1
11357790,32,9,0,1
15186001,32,9,0,1
17133179,32,9,0,1
20183608,32,9,0,1
22310289,32,9,1,1
39886599,32,9,0,2
45409210,32,9,0,2
56444630,32,9,0,3
62798555,32,9,1,3
74670724,32,9,0,1
81055410,32,9,0,1
3092928,33,9,1,1
4369499,33,9,1,1
6013253,33,9,0,2
10853821,33,9,0,2
13202909,33,9,2,1
14780386,33,9,0,2
21428407,33,9,0,2
41694687,33,9,1,3
46416962,33,9,0,2
47559264,33,9,0,1
47843344,33,9,1,3
52008067,33,9,2,2
54049623,33,9,2,2
55369933,33,9,2,2
56703046,33,9,1,2
57898750,33,9,0,2
59735639,33,9,1,1
61814547,33,9,0,2
75364121,33,9,1,1
84157448,33,9,0,2
86786229,33,9,0,1
89955721,33,9,0,1
95134586,33,9,1,1
97576495,33,9,0,2
7318266,34,9,1,2
8261710,34,9,0,2
10211819,34,9,0,1
18254827,34,9,0,2
22241777,34,9,1,1
23376239,34,9,0,2
27693363,34,9,0,3
30226747,34,9,0,3
31782901,34,9,1,2
37608383,34,9,0,2
38139111,34,9,1,1
39996216,34,9,1,3
46171184,34,9,0,3
51420304,34,9,1,2
57384060,34,9,0,2
59234568,34,9,0,3
60837774,34,9,0,1
63611529,34,9,0,1
68516667,34,9,0,1
74694949,34,9,1,1
95134586,34,9,0,2
95966817,34,9,1,1
96323824,34,9,0,1
97402076,34,9,1,1
11691594,35,9,1,1
14678852,35,9,0,1
30742236,35,9,0,1
33741710,35,9,0,1
36677139,35,9,0,1
37572916,35,9,0,2
40568984,35,9,0,3
44658294,35,9,0,3
54049623,35,9,1,2
61708285,35,9,0,2
64401049,35,9,0,2
74045566,35,9,1,1
88957624,35,9,0,1
89428445,35,9,1,2
94602942,35,9,1,1
96027225,35,9,1,2
98762269,35,9,0,1
4520364,36,9,0,3
11778697,36,9,0,2
12233534,36,9,1,1
25155122,36,9,1,1
35239019,36,9,1,2
36180262,36,9,0,3
48022720,36,9,0,2
51110822,36,9,0,2
53115277,36,9,0,1
56881934,36,9,1,1
69471427,36,9,0,1
76128466,36,9,0,1
77975917,36,9,1,2
87033146,36,9,0,1
87334088,36,9,0,1
89054631,36,9,1,2
98702474,36,9,1,3
1426729,37,9,0,2
6706196,37,9,0,3
6836988,37,9,1,3
12707209,37,9,1,3
36180262,37,9,0,2
50010333,37,9,1,2
58230245,37,9,0,2
59052433,37,9,1,2
72414396,37,9,1,1
83092660,37,9,1,2
90086277,37,9,1,1
95722614,37,9,1,2
2020964,38,9,0,2
10896195,38,9,0,2
26653514,38,9,0,2
30798527,38,9,0,1
31759206,38,9,0,1
33612836,38,9,1,3
35640859,38,9,0,2
38463941,38,9,0,1
43501725,38,9,2,2
47016291,38,9,0,1
47499811,38,9,0,3
51690902,38,9,1,1
52073578,38,9,1,2
55846591,38,9,1,1
66365589,38,9,2,1
67322705,38,9,0,3
70139890,38,9,0,1
75029471,38,9,1,3
84005264,38,9,0,1
88979575,38,9,0,1
91107224,38,9,0,2
92100865,38,9,1,3
2020964,39,9,0,2
3716977,39,9,0,4
6836988,39,9,1,4
11909946,39,9,0,3
15656443,39,9,0,1
16504456,39,9,0,2
16706684,39,9,0,1
47146594,39,9,0,3
51450963,39,9,1,2
52304424,39,9,0,1
63401168,39,9,0,1
65783801,39,9,0,2
67322705,39,9,0,3
70627208,39,9,2,2
71387842,39,9,0,1
96545299,39,9,2,4
2224771,40,9,2,2
2431114,40,9,1,2
11924320,40,9,0,2
14857842,40,9,0,2
17288473,40,9,1,2
26318756,40,9,0,1
31290434,40,9,1,1
34760651,40,9,1,1
47146594,40,9,0,3
48332872,40,9,1,2
53716283,40,9,1,3
59811997,40,9,2,1
67229060,40,9,0,2
96013181,40,9,1,2
98526535,40,9,1,2
99307081,40,9,0,2
3878842,41,9,0,1
14857842,41,9,0,2
29941552,41,9,1,1
61933031,41,9,0,2
70455199,41,9,0,1
75366520,41,9,1,3
85255780,41,9,0,2
86619791,41,9,0,2
89173367,41,9,1,3
91637196,41,9,0,1
96237021,41,9,0,1
111412,42,9,0,2
1178279,42,9,2,2
7333452,42,9,1,1
14857842,42,9,0,2
42262502,42,9,1,2
43769859,42,9,1,1
62043046,42,9,1,2
62834717,42,9,1,1
93039671,42,9,1,1
24217777,43,9,0,1
29070154,43,9,1,1
30226747,43,9,1,2
42262502,43,9,1,2
46704024,43,9,0,2
63496864,43,9,0,2
66421145,43,9,0,2
75604754,43,9,1,1
77321024,43,9,2,2
79027472,43,9,0,2
84045302,43,9,1,3
1869052,44,9,1,2
11865436,44,9,0,2
16078144,44,9,0,1
22435400,44,9,2,2
22992308,44,9,1,1
24588202,44,9,0,3
30226747,44,9,1,2
